ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab00943		2						P1virus	
ab00944		2							
ab00945		2						P1virus	P1virus(incomplete)
ab00946		2							
ab00947		2							
ab00948	I-F	25					I-Fb		
ab00949		78							
ab00950	I-F	19					I-Fb		
ab00951		2						P1virus	P1virus(incomplete)
ab00952		78						P1virus	P1virus(incomplete)
ab00953		238						P1virus	
ab00954		2						P1virus	
ab00955		2						P1virus	
ab00956	I-F	79					I-Fa		
ab00957	I-F	25					I-Fb		
ab00958		2							
ab00959	I-F	81					I-Fb		
ab00960		2							
ab00961		604						P1virus	P1virus(incomplete)
ab00962		2						P1virus	
ab00963		2							
ab00964		2						P1virus	
ab00965		2						P1virus	
ab00966		2							
ab00967		109							
ab00968		2							
ab00969		2						P1virus	P1virus(incomplete)
ab00970		2						P1virus	P1virus(incomplete)
ab00971		2						P1virus	P1virus(incomplete)
ab00972		2						P1virus	
ab00973		2						P1virus	
ab00974		2						P1virus	P1virus(incomplete)
ab00975		2						P1virus	P1virus(incomplete)
ab00976		2						P1virus	P1virus(incomplete)
ab00977		2							
ab00978		2						P1virus	
ab00979		79							
ab00980		2						P1virus	
ab00981		2						P1virus	
ab00982		2						P1virus	P1virus(incomplete)
ab00983		2							
ab00984		2							
ab00985		2						P1virus	
ab00986		2						P1virus	
ab00987		2						P1virus	
ab00988		2						P1virus	P1virus(incomplete)
ab00989	I-F	25					I-Fb		
ab00990		3							
ab00991		3							
ab00992		2							
ab00993		-							
ab00994		412						P1virus	P1virus(incomplete)
ab00995		2						P1virus	
ab00996		2							
ab00997		2							
ab00998		2						P1virus	
ab00999	I-F	1					I-Fb		
ab01000		2							
ab01001		2							
ab01002		2						P1virus	
ab01003		2						P1virus	P1virus(incomplete)
ab01004		2						P1virus	
ab01005		2							
ab01006		156							
ab01007		2						P1virus	
ab01008		15							
ab01009		2						P1virus	
ab01010		2							
ab01011		2							
ab01012		2							
ab01013		2							
ab01014		318							
ab01015		406							
ab01016		15							
ab01017		156							
ab01018		2						P1virus	P1virus(incomplete)
ab01019		2						P1virus	P1virus(incomplete)
ab01020		2						P1virus	P1virus(incomplete)
ab01021		2						P1virus	P1virus(incomplete)
ab01022		2						P1virus	P1virus(incomplete)
ab01023		2						P1virus	P1virus(incomplete)
ab01024		2						P1virus	P1virus(incomplete)
ab01025		2						P1virus	P1virus(incomplete)
ab01026		2						P1virus	P1virus(incomplete)
ab01027		2						P1virus	P1virus(incomplete)
ab01028		2						P1virus	P1virus(incomplete)
ab01029		2							
ab01030		2							
ab01031		2							
ab01032		2						P1virus	P1virus(incomplete)
ab01033		2						P1virus	P1virus(incomplete)
ab01034		2							
ab01035		2							
ab01036		2							
ab01037		2							
ab01038		2						P1virus	P1virus(incomplete)
ab01039		2							
ab01040		2						P1virus	P1virus(incomplete)
ab01041		2						P1virus	P1virus(incomplete)
ab01042		2						P1virus	P1virus(incomplete)
ab01043		2							
ab01044		2						P1virus	P1virus(incomplete)
ab01045		2						P1virus	P1virus(incomplete)
ab01046		2						P1virus	P1virus(incomplete)
ab01047		2						P1virus	P1virus(incomplete)
ab01048		2						P1virus	P1virus(incomplete)
ab01049		2						P1virus	P1virus(incomplete)
ab01050		2						P1virus	P1virus(incomplete)
ab01051		2						P1virus	P1virus(incomplete)
ab01052		2						P1virus	P1virus(incomplete)
ab01053		2							
ab01054		78							
ab01055		2							
ab01056		2						P1virus	
ab01057		2							
ab01058		2							
ab01059		2							
ab01060		2						P1virus	P1virus(incomplete)
ab01061		2						P1virus	
ab01062		2							
ab01063		499							
ab01064		2							
ab01065		2							
ab01066		2						P1virus	
ab01067		2						P1virus	
ab01068		78							
ab01069		2						P1virus	
ab01070		-							
ab01071		2						P1virus	
ab01072		2						P1virus	
ab01073		2							
ab01074		2							
ab01075		2							
ab01076		156							
ab01077		2							
ab01078		2							
ab01079		499							
ab01080		2							
ab01081		499							
ab01082		2						P1virus	
ab01083		2							
ab01084		2						P1virus	
ab01085		499							
ab01086	I-F	150					I-Fa		
ab01087		499							
ab01088		499							
ab01089		2							
ab01090		2						P1virus	
ab01091		499							
ab01092		2						P1virus	
ab01093		406						P1virus	
ab01094		2						P1virus	
ab01095		2							
ab01096		499						P1virus	P1virus(incomplete)
ab01097		2							
ab01098		499							
ab01099		2						P1virus	
ab01100		2						P1virus	
ab01101		2						P1virus	
ab01102		499						P1virus	
ab01103		499							
ab01104		2						P1virus	
ab01105		2							
ab01106		2							
ab01107		2						P1virus	P1virus(incomplete)
ab01108		2						P1virus	
ab01109		2							
ab01110		2						P1virus	
ab01111		2							
ab01112		2							
ab01113		2							
ab01114		2						P1virus	
ab01115		2						P1virus	P1virus(incomplete)
ab01116		2						P1virus	P1virus(incomplete)
ab01117		2						P1virus	P1virus(incomplete)
ab01118		724						P1virus	P1virus(incomplete)
ab01119		2						P1virus	P1virus(incomplete)
ab01120		2						P1virus	P1virus(incomplete)
ab01121		2							
ab01122		2							
ab01123		46							
ab01124		2						P1virus	P1virus(incomplete)
ab01125		2						P1virus	P1virus(incomplete)
ab01126		2						P1virus	P1virus(incomplete)
ab01127		2							
ab01128		2						P1virus	P1virus(incomplete)
ab01129		2						P1virus	P1virus(incomplete)
ab01130		2						P1virus	P1virus(incomplete)
ab01131		2						P1virus	P1virus(incomplete)
ab01132		2						P1virus	P1virus(incomplete)
ab01133		2						P1virus	P1virus(incomplete)
ab01134		1142							
ab01135		2						P1virus	P1virus(incomplete)
ab01136		2						P1virus	P1virus(incomplete)
ab01137		2						P1virus	P1virus(incomplete)
ab01138		499							
ab01139		2						P1virus	P1virus(incomplete)
ab01140		2						P1virus	P1virus(incomplete)
ab01141		2						P1virus	P1virus(incomplete)
ab01142		2						P1virus	P1virus(incomplete)
ab01143		2						P1virus	P1virus(incomplete)
ab01144		2							
ab01145		2						P1virus	P1virus(incomplete)
ab01146		2						P1virus	P1virus(incomplete)
ab01147	I-F	734					I-Fb		
ab01148		46							
ab01149		499						P1virus	P1virus(incomplete)
ab01150		2						P1virus	P1virus(incomplete)
ab01151		2							
ab01152		2						P1virus	P1virus(incomplete)
ab01153		2						P1virus	P1virus(incomplete)
ab01154		2						P1virus	P1virus(incomplete)
ab01155		2						P1virus	P1virus(incomplete)
ab01156		2						P1virus	P1virus(incomplete)
ab01157		-						P1virus	P1virus(incomplete)
ab01158		2						P1virus	P1virus(incomplete)
ab01159		-						P1virus	P1virus(incomplete)
ab01160		2						P1virus	P1virus(incomplete)
ab01161		1088							
ab01162		2						P1virus	P1virus(incomplete)
ab01163		2						P1virus	P1virus(incomplete)
ab01164		2						P1virus	P1virus(incomplete)
ab01165		2						P1virus	P1virus(incomplete)
ab01166		2						P1virus	P1virus(incomplete)
ab01167		2						P1virus	
ab01168		2						P1virus	P1virus(incomplete)
ab01169		2						P1virus	P1virus(incomplete)
ab01170		2						P1virus	P1virus(incomplete)
ab01171		2						P1virus	P1virus(incomplete)
ab01172		2						P1virus	P1virus(incomplete)
ab01173		2							
ab01174		2						P1virus	
ab01175		2							
ab01176		2						P1virus	P1virus(incomplete)
ab01177		2							
ab01178		2						P1virus	
ab01179		2						P1virus	P1virus(incomplete)
ab01180		2						P1virus	P1virus(incomplete)
ab01181		23						P1virus	P1virus(incomplete)
ab01182		2						P1virus	
ab01183		2						P1virus	
ab01184		2						P1virus	P1virus(incomplete)
ab01185		2						P1virus	P1virus(incomplete)
ab01186		2						P1virus	P1virus(incomplete)
ab01187		2						P1virus	P1virus(incomplete)
ab01188		2						P1virus	P1virus(incomplete)
ab01189	I-F	1					I-Fb		
ab01190		3							
ab01191		241							
ab01192		2							
ab01193		2						P1virus	P1virus(incomplete)
ab01194		2						P1virus	P1virus(incomplete)
ab01195		2						P1virus	P1virus(incomplete)
ab01196		2						P1virus	P1virus(incomplete)
ab01197		2						P1virus	P1virus(incomplete)
ab01198	I-F,I-F	837					I-Fa,I-Fb		
ab01199		2						P1virus	P1virus(incomplete)
ab01200		239							
ab01201		-							
ab01202		2							
ab01203		2							
ab01204		2							
ab01205		2							
ab01206		2							
ab01207		2							
ab01208		2							
ab01209		2						P1virus	
ab01210		40							
ab01211		2							
ab01212		2						P1virus	
ab01213	I-F	25	incomplete				I-Fb		
ab01214		85							
ab01215		2						P1virus	P1virus(incomplete)
ab01216		2							
ab01217	I-F	25					I-Fb		
ab01218		2						P1virus	P1virus(incomplete)
ab01219	I-F	25					I-Fb		
ab01220		636							
ab01221		2						P1virus	P1virus(incomplete)
ab01222	I-F	23	incomplete				I-Fa		
ab01223		2						P1virus	
ab01224		2						P1virus	P1virus(incomplete)
ab01225		215							
ab01226		2						P1virus	P1virus(incomplete)
ab01227		2						P1virus	P1virus(incomplete)
ab01228		2						P1virus	
ab01229		2						P1virus	
ab01230		2						P1virus	P1virus(incomplete)
ab01231		2						P1virus	P1virus(incomplete)
ab01232		2						P1virus	
ab01233		2						P1virus	P1virus(incomplete)
ab01234		2						P1virus	
ab01235		2						P1virus	
ab01236		2						P1virus	P1virus(incomplete)
ab01237		2						P1virus	P1virus(incomplete)
ab01238		2						P1virus	P1virus(incomplete)
ab01239		2						P1virus	P1virus(incomplete)
ab01240		2						P1virus	P1virus(incomplete)
ab01241		2						P1virus	P1virus(incomplete)
ab01242		2						P1virus	P1virus(incomplete)
ab01243		2							
ab01244		2						P1virus	P1virus(incomplete)
ab01245		2							
ab01246		2						P1virus	P1virus(incomplete)
ab01247		2						P1virus	P1virus(incomplete)
ab01248		2						P1virus	P1virus(incomplete)
ab01249		2						P1virus	P1virus(incomplete)
ab01250		2						P1virus	P1virus(incomplete)
ab01251		2						P1virus	
ab01252		2						P1virus	
ab01253		2						P1virus	P1virus(incomplete)
ab01254		2						P1virus	
ab01255		2						P1virus	P1virus(incomplete)
ab01256		2						P1virus	
ab01257		2						P1virus	
ab01258		2						P1virus	
ab01259		2						P1virus	
ab01260		2						P1virus	
ab01261		-							
ab01262		941							
ab01263	I-F	-					I-Fa		
ab01264		2						P1virus	
ab01265		2							
ab01266		374							
ab01267		2						P1virus	P1virus(incomplete)
ab01268	I-F	16	incomplete				I-Fa	P1virus	P1virus(incomplete)
ab01269		2						P1virus	P1virus(incomplete)
ab01270		2						P1virus	
ab01271		187						P1virus	
ab01272		164							
ab01273		2						P1virus	P1virus(incomplete)
ab01274		2						P1virus	P1virus(incomplete)
ab01275		215						P1virus	P1virus(incomplete)
ab01276		215						P1virus	P1virus(incomplete)
ab01277		2						P1virus	P1virus(incomplete)
ab01278		2						P1virus	P1virus(incomplete)
ab01279	I-F	23					I-Fa		
ab01280		23			anycas	ambiguous			
ab01281		2						P1virus	P1virus(incomplete)
ab01282	I-F	1					I-Fb		
ab01283		2						P1virus	P1virus(incomplete)
ab01284		164							
ab01285		2						P1virus	P1virus(incomplete)
ab01286	I-F	25					I-Fb		
ab01287		575						P1virus	P1virus(incomplete)
ab01288		164							
ab01289		164							
ab01290		2						P1virus	P1virus(incomplete)
ab01291		2						P1virus	P1virus(incomplete)
ab01292		2						P1virus	P1virus(incomplete)
ab01293		2						P1virus	P1virus(incomplete)
ab01294		109						P1virus	P1virus(incomplete)
ab01295	I-F	1					I-Fb		
ab01296	I-F	25					I-Fb		
ab01297	I-F	23					I-Fa		
ab01298		575						P1virus	P1virus(incomplete)
ab01299	I-F	1					I-Fb		
ab01300		2						P1virus	P1virus(incomplete)
ab01301		2						P1virus	P1virus(incomplete)
ab01302		16							
ab01303		2							
ab01304		2						P1virus	P1virus(incomplete)
ab01305		2						P1virus	P1virus(incomplete)
ab01306		575						P1virus	P1virus(incomplete)
ab01307		571						P1virus	P1virus(incomplete)
ab01308		571						P1virus	P1virus(incomplete)
ab01309		571						P1virus	P1virus(incomplete)
ab01310		571						P1virus	P1virus(incomplete)
ab01311		571						P1virus	P1virus(incomplete)
ab01312		215						P1virus	P1virus(incomplete)
ab01313		571						P1virus	P1virus(incomplete)
ab01314		571						P1virus	P1virus(incomplete)
ab01315		575						P1virus	P1virus(incomplete)
ab01316		575						P1virus	P1virus(incomplete)
ab01317		2						P1virus	
ab01318		571						P1virus	P1virus(incomplete)
ab01319		575						P1virus	P1virus(incomplete)
ab01320		23			anycas	ambiguous		P1virus	P1virus(incomplete)
ab01321		571						P1virus	P1virus(incomplete)
ab01322		575						P1virus	P1virus(incomplete)
ab01323		575						P1virus	P1virus(incomplete)
ab01324		571						P1virus	P1virus(incomplete)
ab01325		571							
ab01326		571						P1virus	P1virus(incomplete)
ab01327		571						P1virus	P1virus(incomplete)
ab01328		571						P1virus	P1virus(incomplete)
ab01329		571						P1virus	P1virus(incomplete)
ab01330		2						P1virus	P1virus(incomplete)
ab01331		570						P1virus	P1virus(incomplete)
ab01332		2						P1virus	P1virus(incomplete)
ab01333	I-F	16					I-Fa		
ab01334		571						P1virus	P1virus(incomplete)
ab01335		215						P1virus	P1virus(incomplete)
ab01336	I-F	16					I-Fa		
ab01337		577						P1virus	P1virus(incomplete)
ab01338		575						P1virus	P1virus(incomplete)
ab01339		570						P1virus	P1virus(incomplete)
ab01340		571						P1virus	P1virus(incomplete)
ab01341		2						P1virus	P1virus(incomplete)
ab01342		571						P1virus	P1virus(incomplete)
ab01343		2						P1virus	P1virus(incomplete)
ab01344		571						P1virus	P1virus(incomplete)
ab01345		571						P1virus	P1virus(incomplete)
ab01346		571						P1virus	P1virus(incomplete)
ab01347		571						P1virus	P1virus(incomplete)
ab01348		2						P1virus	P1virus(incomplete)
ab01349		2						P1virus	P1virus(incomplete)
ab01350		215						P1virus	P1virus(incomplete)
ab01351		215						P1virus	P1virus(incomplete)
ab01352		23						P1virus	P1virus(incomplete)
ab01353		575						P1virus	P1virus(incomplete)
ab01354		2						P1virus	P1virus(incomplete)
ab01355		570						P1virus	P1virus(incomplete)
ab01356		215						P1virus	P1virus(incomplete)
ab01357		2						P1virus	P1virus(incomplete)
ab01358		571						P1virus	P1virus(incomplete)
ab01359		571						P1virus	P1virus(incomplete)
ab01360		570						P1virus	P1virus(incomplete)
ab01361		570						P1virus	P1virus(incomplete)
ab01362		571						P1virus	P1virus(incomplete)
ab01363		578						P1virus	P1virus(incomplete)
ab01364		571						P1virus	P1virus(incomplete)
ab01365		570						P1virus	P1virus(incomplete)
ab01366		570						P1virus	P1virus(incomplete)
ab01367		2						P1virus	P1virus(incomplete)
ab01368		2						P1virus	P1virus(incomplete)
ab01369		2						P1virus	P1virus(incomplete)
ab01370		571						P1virus	P1virus(incomplete)
ab01371		571						P1virus	P1virus(incomplete)
ab01372		2						P1virus	P1virus(incomplete)
ab01373		23						P1virus	P1virus(incomplete)
ab01374		570						P1virus	P1virus(incomplete)
ab01375		570						P1virus	P1virus(incomplete)
ab01376		570						P1virus	P1virus(incomplete)
ab01377		570						P1virus	
ab01378		570						P1virus	P1virus(incomplete)
ab01379		23						P1virus	P1virus(incomplete)
ab01380		23						P1virus	P1virus(incomplete)
ab01381		2						P1virus	P1virus(incomplete)
ab01382		215						P1virus	P1virus(incomplete)
ab01383		575						P1virus	P1virus(incomplete)
ab01384		570						P1virus	P1virus(incomplete)
ab01385		23			anycas	ambiguous			
ab01386		575						P1virus	P1virus(incomplete)
ab01387		2						P1virus	P1virus(incomplete)
ab01388		23			anycas	ambiguous			
ab01389		570						P1virus	P1virus(incomplete)
ab01390		570						P1virus	P1virus(incomplete)
ab01391		570						P1virus	P1virus(incomplete)
ab01392		215						P1virus	P1virus(incomplete)
ab01393		570						P1virus	P1virus(incomplete)
ab01394		575						P1virus	P1virus(incomplete)
ab01395		570						P1virus	P1virus(incomplete)
ab01396		570						P1virus	P1virus(incomplete)
ab01397		1280						P1virus	
ab01398		2						P1virus	P1virus(incomplete)
ab01399		-							
ab01400	I-F	108					I-Fa	P1virus	
ab01401		2						P1virus	
ab01402		1279							
ab01403		-							
ab01404		2						P1virus	P1virus(incomplete)
ab01405		740							
ab01406		740							
ab01407		-							
ab01408		107						P1virus	
ab01409		-							
ab01410		-							
ab01411		-							
ab01412		10							
ab01413		10							
ab01414		10							
ab01415		10							
ab01416		10							
ab01417		10							
ab01418		10							
ab01419		10							
ab01420		10							
ab01421		10							
ab01422		10							
ab01423		10							
ab01424		10							
ab01425		10							
ab01426		10							
ab01427		10							
ab01428		10							
ab01429		1550						P1virus	
ab01430		10							
ab01431		1550						P1virus	
ab01432		10							
ab01433		1550						P1virus	
ab01434		1550						P1virus	
ab01435		1550						P1virus	
ab01436		1550						P1virus	
ab01437		1550						P1virus	
ab01438		1550						P1virus	
ab01439		1550						P1virus	
ab01440		1550						P1virus	
ab01441		1550						P1virus	
ab01442		1550						P1virus	
ab01443		1550						P1virus	
ab01444		1550						P1virus	
ab01445		1550						P1virus	
ab01446		1550						P1virus	
ab01447		10							
ab01448		10							
ab01449		10							
ab01450		10							
ab01451		1550						P1virus	
ab01452		1550						P1virus	
ab01453		1550						P1virus	
ab01454		10							
ab01455		10							
ab01456		10							
ab01457		10							
ab01458		1550						P1virus	
ab01459		1550						P1virus	
ab01460		10							
ab01461		1550						P1virus	
ab01462		10							
ab01463		10							
ab01464		1550						P1virus	
ab01465		1550						P1virus	
ab01466		1550						P1virus	
ab01467		1550						P1virus	
ab01468		1550						P1virus	
ab01469		1550						P1virus	
ab01470	I-F	52					I-Fa		
ab01471	I-F	52					I-Fa		
ab01472		10							
ab01473		10							
ab01474	I-F	52					I-Fa		
ab01475		10							
ab01476		10							
ab01477		10							
ab01478	I-F	16					I-Fa		
ab01479		10							
ab01480		10							
ab01481		10							
ab01482		10							
ab01483		10							
ab01484		10							
ab01485		-							
ab01486		203		arrays		ambiguous			
ab01487		32							
ab01488		10							
ab01489		10							
ab01490		10							
ab01491		10							
ab01492		1111							
ab01493	I-F	654					I-Fb		
ab01494		267						P1virus	P1virus(incomplete)
ab01495		10							
ab01496		10							
ab01497		374							
ab01498		10						P1virus	P1virus(incomplete)
ab01499		10							
ab01500		10							
ab01501		10						P1virus	P1virus(incomplete)
ab01502		10							
ab01503		10							
ab01504		10							
ab01505		499							
ab01506		570						P1virus	
ab01507		280							
ab01508		1230							
ab01509	I-F	16	incomplete				I-Fa		
ab01510		-							
ab01511	I-F	16	incomplete				I-Fa		
ab01512	I-F	52					I-Fa		
ab01513	I-F	16					I-Fa		
ab01514	I-F	16					I-Fa		
ab01515	I-F	16	incomplete				I-Fa		
ab01516		570						P1virus	
ab01517		10							
ab01518		1550						P1virus	
ab01519		1550						P1virus	
ab01520	I-F	1					I-Fb		
ab01521		216							
ab01522		570						P1virus	
ab01523		570						P1virus	
ab01524		1550						P1virus	
ab01525		570						P1virus	
